Type,Location,Country,2012,2013,2014,2015,2016
Eating out,Abroad,Switzerland,159.73,167.35,170.7,195.53,224.97
Other,Domestic,Switzerland,37.52,47.52,38.88,40.97,44.45
Other,Abroad,Switzerland,100.12,122.54,90.81,124.51,113.59
Shopping,Domestic,Switzerland,:,:,3.32,1.34,3.32
Shopping,Abroad,Switzerland,:,:,13.26,12.48,9.3
Total,Domestic,Switzerland,302.21,336.28,326.82,325.43,365.98
Total,Abroad,Switzerland,983.4,978.11,893.88,1006.45,1053.42
Transport,Domestic,Switzerland,42.75,45.67,41.37,43.12,39.87
Transport,Abroad,Switzerland,345.62,317.51,289.05,343.02,336.68
Accomodation,Domestic,United Kingdom,91.09,89.49,:,:,89.49
Accomodation,Abroad,United Kingdom,331.84,374.49,:,:,374.49
Eating out,Domestic,United Kingdom,52.54,51.55,:,:,51.55
Eating out,Abroad,United Kingdom,0,0,:,:,0
Other,Domestic,United Kingdom,21.94,20.02,:,:,20.02
Other,Abroad,United Kingdom,85.93,69.87,:,:,69.87
Shopping,Domestic,United Kingdom,39.05,35.39,:,:,35.39
Shopping,Abroad,United Kingdom,286.48,37.51,:,:,37.51
Total,Domestic,United Kingdom,223.32,215.78,:,:,215.78
Total,Abroad,United Kingdom,526.1,728.71,:,:,728.71
Transport,Domestic,United Kingdom,57.75,54.72,:,:,54.72
Transport,Abroad,United Kingdom,108.33,284.35,:,:,284.35
